sku,title,winery,variety,vintage,region,price,stock,image_url,product_url,description,tags,active
DEMO-WINE-001,Antucura NV Chérie Sparkling Pinot Noir Rosé Sparkling (Vista Flores),Antucura,Sparkling Blend,2023,Vista Flores,24000,25,/static/images/wines/demo-wine-001.png,https://www.demovinoteca.com.ar/productos/demo-wine-001,"Strawberry, field grass and creamy, lactic aromas feed into a bright palate with ripe but short flavors of melon and spiced apple.","espumante, celebracion",True
DEMO-WINE-002,Trapiche NV Extra Brut Sparkling (Mendoza),Trapiche,Sparkling Blend,2023,Mendoza,48000,25,/static/images/wines/demo-wine-002.png,https://www.demovinoteca.com.ar/productos/demo-wine-002,"Aggressive and ultra-bubbly, with gassy apple, pear and pineapple aromas.","espumante, celebracion, premium",True
DEMO-WINE-003,Domaine Jean Bousquet NV Brut Methode Traditionnelle  (Tupungato),Domaine,Champagne Blend,2023,Tupungato,12000,25,/static/images/wines/demo-wine-003.png,https://www.demovinoteca.com.ar/productos/demo-wine-003,The nose is yeasty with aromas of apple and hay stalks.,"espumante, celebracion",True
DEMO-WINE-004,Viniterra NV Método Tradicional Extra Brut  (Mendoza),Viniterra,Champagne Blend,2023,Mendoza,24000,25,/static/images/wines/demo-wine-004.png,https://www.demovinoteca.com.ar/productos/demo-wine-004,"Given the local competition, this Pinot Noir-dominated sparkler is pretty good.","espumante, celebracion",True
DEMO-WINE-005,Familia Schroeder NV Deseado Sparkling (Argentina),Familia,Sparkling Blend,2023,Argentina,48000,25,/static/images/wines/demo-wine-005.png,https://www.demovinoteca.com.ar/productos/demo-wine-005,"The nose on this Patagonian sparkler is a stand-in for Moscato, although by all indications this is made from Torrontés.","espumante, celebracion, premium",True
DEMO-WINE-006,Alma Negra NV Brut Nature Rosé Sparkling (Mendoza),Alma,Sparkling Blend,2023,Mendoza,12000,25,/static/images/wines/demo-wine-006.png,https://www.demovinoteca.com.ar/productos/demo-wine-006,"This salmon-colored, no-dosage bubbly is peachy, dusty and yeasty on the nose, with strong whiffs of sulfur and scrambled egg.","espumante, celebracion",True
DEMO-WINE-007,Pascual Toso NV Toso Brut Sparkling (Mendoza),Pascual,Sparkling Blend,2023,Mendoza,24000,0,/static/images/wines/demo-wine-007.png,https://www.demovinoteca.com.ar/productos/demo-wine-007,Grassy floral aromas are aromatic but unrefined.,"espumante, celebracion",True
DEMO-WINE-008,Spirit of the Andes NV Sustainably Farmed Sparkling Torrontés (Tupungato),Spirit,Torrontés,2023,Tupungato,48000,25,/static/images/wines/demo-wine-008.png,https://www.demovinoteca.com.ar/productos/demo-wine-008,"Moscato-like with its jasmine and lychee aromas, but things fall apart in the mouth.","blanco, fresco, espumante, celebracion, premium",True
DEMO-WINE-009,Cruzat NV Cuvée Réserve Extra Brut  (Mendoza),Cruzat,Champagne Blend,2023,Mendoza,12000,25,/static/images/wines/demo-wine-009.png,https://www.demovinoteca.com.ar/productos/demo-wine-009,"Citrus and stone-fruit aromas struggle to hold up, while the palate on this blend of 75% Pinot Noir and 25% Chardonnay is solid but soft.","espumante, celebracion",True
DEMO-WINE-010,Baja Tanga NV Sparkling Sec Cuvée Rosé Sparkling (Mendoza),Baja,Sparkling Blend,2023,Mendoza,24000,25,/static/images/wines/demo-wine-010.png,https://www.demovinoteca.com.ar/productos/demo-wine-010,"Candied, dusty aromas turn sweet and soapy if given time.","espumante, celebracion",True
